matrixMul	 3749.321	0.003	124.988	0.015	0.008	250.382	0.027	0.012	2686.050	0.033	55596.028	1573.179	0.005	8.724	0.201	88.967	0.002	64077.945
matrixMul	 3750.762	0.002	124.093	0.014	0.008	253.097	0.027	0.012	2693.701	0.033	55596.549	1598.040	0.005	8.748	0.192	89.411	0.002	64114.696
matrixMul	 3750.862	0.002	124.823	0.014	0.008	252.533	0.025	0.013	2706.753	0.033	55596.274	1574.908	0.005	8.648	0.191	88.930	0.002	64104.024
matrixMul	 3749.772	0.002	124.181	0.014	0.008	253.125	0.025	0.012	3859.568	0.032	96091.410	2273.643	0.004	12.504	0.212	88.930	0.002	106453.444
matrixMul	 3751.963	0.002	124.242	0.014	0.009	251.510	0.027	0.012	3901.179	0.030	96092.164	2277.290	0.005	12.519	0.212	88.980	0.002	106500.160
matrixMul	 3751.255	0.003	123.817	0.015	0.008	251.466	0.026	0.013	3886.313	0.036	96090.743	2286.090	0.006	12.536	0.209	89.063	0.002	106491.601

matrixMul	 3761.428	0.004	128.155	0.015	0.009	251.989	0.028	0.012	2102.448	0.232	4508.349	895.808	0.005	0.611	0.132	86.416	0.002	11735.643
matrixMul	 3759.711	0.004	128.288	0.014	0.009	248.884	0.027	0.013	2118.895	0.252	4509.758	898.444	0.005	0.631	0.136	86.751	0.001	11751.823
matrixMul	 3758.640	0.003	127.650	0.015	0.009	249.797	0.028	0.012	2113.051	0.209	4509.915	895.780	0.005	0.622	0.131	86.839	0.002	11742.708
matrixMul	 3760.092	0.003	127.684	0.015	0.009	248.191	0.027	0.012	4052.805	0.129	17821.508	1628.278	0.005	1.669	0.142	87.188	0.002	27727.759
matrixMul	 3759.540	0.003	127.716	0.015	0.009	250.546	0.031	0.012	4052.928	0.107	17821.341	1628.032	0.005	1.660	0.148	86.621	0.001	27728.715
matrixMul	 3760.936	0.003	128.786	0.014	0.009	251.463	0.027	0.012	4043.858	0.112	17820.773	1628.453	0.005	1.676	0.147	86.823	0.002	27723.099
matrixMul	 3759.149	0.003	128.149	0.015	0.009	251.456	0.029	0.014	4503.298	0.078	29977.459	1799.970	0.004	3.441	0.150	86.661	0.002	40509.887
matrixMul	 3760.583	0.003	127.812	0.015	0.009	249.573	0.029	0.012	4500.225	0.071	29977.406	1799.602	0.018	3.464	0.160	87.159	0.002	40506.143
matrixMul	 3759.461	0.003	128.237	0.015	0.009	249.974	0.031	0.013	4501.425	0.070	29977.550	1800.235	0.005	3.458	0.153	86.710	0.002	40507.351
matrixMul	 3759.980	0.003	128.569	0.015	0.009	251.034	0.028	0.013	6413.517	0.062	58471.837	2541.245	0.005	5.952	0.167	86.491	0.002	71658.929
matrixMul	 3759.634	0.003	127.997	0.015	0.009	251.102	0.029	0.013	6398.315	0.059	58468.994	2538.945	0.005	5.934	0.165	86.887	0.002	71638.108
matrixMul	 3759.899	0.003	127.845	0.014	0.009	249.412	0.029	0.014	6388.187	0.062	58467.114	2539.611	0.004	5.932	0.180	86.445	0.002	71624.762
matrixMul	 3759.144	0.003	127.505	0.015	0.009	251.115	0.031	0.014	4987.345	0.039	55596.756	1975.986	0.006	9.181	0.199	86.809	0.002	66794.159
matrixMul	 3760.468	0.003	128.011	0.015	0.009	251.727	0.029	0.012	4996.354	0.038	55596.672	1978.463	0.005	9.124	0.203	86.608	0.003	66807.744
matrixMul	 3759.710	0.003	127.962	0.015	0.009	250.584	0.030	0.021	5010.134	0.038	55596.610	1977.318	0.006	9.078	0.199	86.721	0.003	66818.441
matrixMul	 3758.723	0.003	127.799	0.014	0.009	249.519	0.030	0.013	7211.497	0.038	96095.419	2845.894	0.006	13.082	0.212	86.749	0.002	110389.009
matrixMul	 3759.733	0.003	128.120	0.014	0.010	249.762	0.033	0.013	7198.656	0.037	96094.007	2845.356	0.005	13.093	0.215	86.815	0.002	110375.874
matrixMul	 3759.808	0.003	129.008	0.014	0.009	252.365	0.029	0.014	7217.569	0.038	96095.400	2843.014	0.006	13.034	0.214	87.001	0.002	110397.528

matrixTran	 3749.238	0.004	123.636	0.015	0.012	271.336	0.024	0.017	60.621	0.047	16.006	73.068	0.005	0.541	0.341	0.048	89.198	4384.157
matrixTran	 3751.573	0.002	123.858	0.014	0.011	261.109	0.023	0.017	60.158	0.077	16.630	73.333	0.005	0.549	0.309	0.059	89.171	4376.898
matrixTran	 3751.283	0.003	125.138	0.046	0.011	259.679	0.023	0.017	60.450	0.043	16.598	73.593	0.004	0.556	0.342	0.049	89.192	4377.027
matrixTran	 3750.777	0.003	124.911	0.014	0.014	259.025	0.023	0.017	228.937	0.049	34.724	271.512	0.003	1.286	0.350	0.050	88.738	4760.433
matrixTran	 3750.582	0.002	124.298	0.020	0.015	259.207	0.024	0.017	227.552	0.048	35.240	273.374	0.005	1.253	0.316	0.050	89.103	4761.106
matrixTran	 3751.213	0.003	123.648	0.021	0.014	258.215	0.023	0.017	228.335	0.053	35.142	272.722	0.005	1.245	0.318	0.049	89.167	4760.190
matrixTran	 3751.173	0.004	124.623	0.014	0.015	260.390	0.023	0.018	494.661	0.047	92.862	606.099	0.005	2.412	0.327	0.048	88.966	5421.687
matrixTran	 3751.529	0.003	124.843	0.015	0.014	260.373	0.024	0.046	497.699	0.048	92.635	609.622	0.005	2.423	0.322	0.050	89.080	5428.731
matrixTran	 3751.265	0.003	124.974	0.014	0.013	259.660	0.023	0.018	498.638	0.048	92.641	615.697	0.005	2.380	0.319	0.050	89.097	5434.845
matrixTran	 3750.696	0.004	123.936	0.015	0.014	259.476	0.025	0.016	871.798	0.048	105.512	1094.768	0.005	3.975	0.321	0.076	88.937	6299.622
matrixTran	 3751.011	0.003	124.455	0.014	0.014	260.664	0.024	0.017	868.780	0.054	105.365	1094.819	0.005	3.976	0.318	0.049	89.268	6298.836
matrixTran	 3751.068	0.002	124.055	0.015	0.014	257.830	0.023	0.017	874.195	0.051	105.549	1092.351	0.005	3.973	0.361	0.049	89.074	6298.632
matrixTran	 3751.278	0.002	124.189	0.015	0.013	257.600	0.024	0.017	1362.289	0.051	200.636	1712.811	0.006	5.999	0.319	0.050	89.525	7504.824
matrixTran	 3752.278	0.002	124.028	0.014	0.014	260.574	0.023	0.017	1349.988	0.052	200.941	1702.507	0.005	5.994	0.320	0.049	89.373	7486.179
matrixTran	 3749.760	0.002	125.249	0.014	0.015	260.245	0.024	0.017	1478.396	0.055	200.788	1787.739	0.004	6.008	0.352	0.058	89.011	7697.737
matrixTran	 3750.304	0.002	124.109	0.014	0.015	261.279	0.024	0.016	2128.588	0.050	343.574	2573.762	0.003	8.480	0.330	0.049	89.128	9279.727
matrixTran	 3750.018	0.003	125.767	0.014	0.014	260.002	0.024	0.016	2114.267	0.050	343.751	2580.016	0.004	8.568	0.331	0.050	89.061	9271.956
matrixTran	 3751.037	0.004	123.998	0.014	0.014	258.171	0.024	0.017	2128.977	0.076	343.153	2588.037	0.005	8.556	0.330	0.049	89.022	9291.484

matrixTran	 3759.844	0.004	127.745	0.014	0.011	256.429	0.024	0.015	104.062	0.047	16.564	103.558	0.005	0.566	0.333	0.051	86.495	4455.767
matrixTran	 3760.017	0.003	128.670	0.015	0.011	258.099	0.024	0.016	104.186	0.053	16.768	103.282	0.005	0.560	0.323	0.051	86.732	4458.815
matrixTran	 3760.027	0.004	127.748	0.014	0.011	256.114	0.025	0.018	104.187	0.050	16.536	103.453	0.005	0.567	0.321	0.049	86.701	4455.830
matrixTran	 3758.576	0.004	127.559	0.015	0.015	259.834	0.024	0.018	412.948	0.059	35.134	347.697	0.005	1.273	0.351	0.052	86.691	5030.255
matrixTran	 3759.413	0.004	129.133	0.015	0.015	259.289	0.025	0.017	413.223	0.059	35.213	347.288	0.004	1.319	0.323	0.061	86.753	5032.154
matrixTran	 3760.173	0.004	127.769	0.024	0.015	259.728	0.025	0.016	413.464	0.061	35.279	348.229	0.005	1.314	0.330	0.050	86.912	5033.398
matrixTran	 3759.755	0.003	127.987	0.014	0.015	258.340	0.025	0.018	913.057	0.066	92.975	753.256	0.005	2.499	0.302	0.052	86.307	5994.676
matrixTran	 3759.979	0.004	127.693	0.014	0.015	258.635	0.026	0.017	913.941	0.058	92.790	753.551	0.004	2.489	0.355	0.050	86.437	5996.058
matrixTran	 3760.503	0.004	128.062	0.014	0.015	258.152	0.025	0.018	912.478	0.056	93.280	754.535	0.005	2.493	0.314	0.051	86.742	5996.747
matrixTran	 3760.688	0.003	127.949	0.014	0.014	255.659	0.025	0.017	1608.759	0.060	105.990	1322.707	0.005	4.128	0.356	0.052	86.400	7272.826
matrixTran	 3760.104	0.004	127.805	0.014	0.014	256.622	0.026	0.018	1610.482	0.066	105.328	1322.095	0.005	4.208	0.333	0.055	86.472	7273.651
matrixTran	 3759.589	0.004	128.159	0.014	0.015	256.696	0.025	0.018	1619.182	0.063	106.196	1322.418	0.005	4.146	0.339	0.051	87.068	7283.988
matrixTran	 3760.035	0.004	128.432	0.015	0.015	258.056	0.028	0.019	2510.642	0.062	202.020	2053.763	0.005	6.267	0.352	0.051	86.477	9006.243
matrixTran	 3759.263	0.003	128.108	0.014	0.017	257.857	0.026	0.018	2511.352	0.060	201.399	2056.712	0.006	6.277	0.333	0.051	86.533	9008.029
matrixTran	 3758.837	0.004	128.334	0.014	0.014	259.137	0.026	0.017	2512.456	0.062	200.924	2054.180	0.006	6.243	0.345	0.055	86.496	9007.150
matrixTran	 3759.866	0.003	128.796	0.044	0.016	258.145	0.026	0.018	3604.696	0.060	344.199	2947.465	0.006	8.827	0.358	0.050	86.589	11139.164
matrixTran	 3758.751	0.004	128.633	0.014	0.015	258.031	0.025	0.019	3628.513	0.065	344.298	2950.988	0.007	8.867	0.345	0.059	86.686	11165.320
