Chose device: name='Tesla M2070' index=0 id=0x3b89230
test	atts	units	median	mean	stddev	min	max	trial0	trial1	trial2	trial3	trial4	trial5	trial6	trial7	trial8	trial9	
DownloadSpeed	  4096kB	GB/sec	1.03041	1.07692	0.112222	0.961335	1.21786	1.07601	0.98481	1.21398	0.972931	1.20665	0.963322	1.19735	0.961335	1.21786	0.974966	
DownloadSpeed	  8192kB	GB/sec	1.04941	1.04907	0.0770378	0.96721	1.13039	1.12705	0.967991	1.12373	0.97406	1.1275	0.973947	1.13039	0.977352	1.12147	0.96721	
DownloadSpeed	 16384kB	GB/sec	0.999747	1.0052	0.0126716	0.990391	1.03308	1.03308	0.993381	1.01471	0.995326	1.01736	0.998347	1.00995	0.998287	1.00115	0.990391	
DownloadSpeed	 32768kB	GB/sec	1.0048	1.00467	0.00174462	1.00207	1.00776	1.00776	1.00655	1.00291	1.00568	1.00453	1.00508	1.00408	1.00565	1.00207	1.00243	
DownloadSpeed	 65536kB	GB/sec	1.00826	1.00834	0.00130828	1.0061	1.01065	1.01065	1.01026	1.00888	1.00775	1.00685	1.00812	1.0061	1.0084	1.00793	1.00841	
DownloadTime	     1kB	ms	0.138	0.1421	0.0120702	0.128	0.169	0.156	0.139	0.133	0.132	0.137	0.14	0.136	0.151	0.128	0.169	
DownloadTime	     2kB	ms	0.1345	0.1395	0.0129557	0.123	0.164	0.123	0.135	0.131	0.164	0.164	0.134	0.134	0.141	0.134	0.135	
DownloadTime	     4kB	ms	0.141	0.1418	0.00746726	0.134	0.162	0.162	0.141	0.141	0.135	0.134	0.144	0.141	0.136	0.143	0.141	
DownloadTime	     8kB	ms	0.143	0.1473	0.00888876	0.136	0.166	0.139	0.144	0.151	0.142	0.136	0.142	0.156	0.155	0.142	0.166	
DownloadTime	    16kB	ms	0.1715	0.1757	0.0172861	0.146	0.214	0.146	0.191	0.169	0.214	0.164	0.175	0.171	0.168	0.172	0.187	
DownloadTime	    32kB	ms	0.184	0.1849	0.00959635	0.165	0.201	0.192	0.181	0.181	0.201	0.185	0.189	0.177	0.165	0.195	0.183	
DownloadTime	    64kB	ms	0.221	0.2206	0.0102781	0.206	0.236	0.216	0.226	0.206	0.229	0.209	0.233	0.21	0.236	0.227	0.214	
DownloadTime	   128kB	ms	0.3425	0.3427	0.00511957	0.334	0.352	0.348	0.34	0.348	0.334	0.343	0.342	0.339	0.338	0.352	0.343	
DownloadTime	   256kB	ms	0.5125	0.4992	0.0345855	0.447	0.54	0.483	0.536	0.54	0.454	0.516	0.454	0.526	0.447	0.509	0.527	
DownloadTime	   512kB	ms	0.7625	0.7582	0.020019	0.708	0.788	0.708	0.761	0.788	0.768	0.751	0.771	0.757	0.768	0.746	0.764	
DownloadTime	  1024kB	ms	1.222	1.2137	0.0257645	1.168	1.255	1.207	1.233	1.227	1.172	1.221	1.168	1.229	1.202	1.223	1.255	
DownloadTime	  2048kB	ms	1.9655	1.9779	0.0894701	1.874	2.189	2.189	2.051	1.874	1.992	1.894	1.97	1.922	1.961	1.899	2.027	
DownloadTime	  4096kB	ms	4.0785	3.9365	0.401238	3.444	4.363	3.898	4.259	3.455	4.311	3.476	4.354	3.503	4.363	3.444	4.302	
DownloadTime	  8192kB	ms	8.0315	8.0396	0.590485	7.421	8.673	7.443	8.666	7.465	8.612	7.44	8.613	7.421	8.583	7.48	8.673	
DownloadTime	 16384kB	ms	16.7815	16.6931	0.208179	16.24	16.94	16.24	16.889	16.534	16.856	16.491	16.805	16.612	16.806	16.758	16.94	
DownloadTime	 32768kB	ms	33.394	33.3984	0.05799	33.296	33.485	33.296	33.336	33.457	33.365	33.403	33.385	33.418	33.366	33.485	33.473	
DownloadTime	 65536kB	ms	66.559	66.5542	0.0863271	66.402	66.702	66.402	66.427	66.518	66.593	66.652	66.568	66.702	66.55	66.581	66.549	

Note: Any results marked with (*) had missing values.
      This can occur on systems with a mixture of
      device types or architectural capabilities.
Chose device: name='Tesla M2070' index=1 id=0xdc992a0
test	atts	units	median	mean	stddev	min	max	trial0	trial1	trial2	trial3	trial4	trial5	trial6	trial7	trial8	trial9	
DownloadDelay	     1kB	ms	0.004784	0.00488	0.000212385	0.004672	0.005184	0.004672	0.004736	0.005184	0.004672	0.005184	0.004928	0.004704	0.004704	0.005184	0.004832	
DownloadDelay	     2kB	ms	0.00528	0.0050976	0.000311257	0.00464	0.005472	0.00464	0.005376	0.004704	0.00528	0.00496	0.00528	0.005312	0.005472	0.00464	0.005312	
DownloadDelay	     4kB	ms	0.006096	0.0061152	0.000381981	0.005504	0.006752	0.006176	0.006048	0.006752	0.006112	0.006048	0.006144	0.005504	0.00608	0.00672	0.005568	
DownloadDelay	     8kB	ms	0.007824	0.007632	0.000268971	0.007264	0.007872	0.007264	0.00784	0.007328	0.007872	0.007328	0.007808	0.007872	0.00784	0.007296	0.007872	
DownloadDelay	    16kB	ms	0.0088	0.0087712	0.000217718	0.008192	0.009088	0.009088	0.008832	0.008768	0.008736	0.008768	0.008736	0.008192	0.008832	0.008928	0.008832	
DownloadDelay	    32kB	ms	0.008816	0.0087808	0.000144674	0.008384	0.008928	0.008384	0.008832	0.008736	0.008864	0.0088	0.008896	0.0088	0.008928	0.008736	0.008832	
DownloadDelay	    64kB	ms	0.008672	0.0086272	0.000307	0.008192	0.00912	0.00912	0.008288	0.008864	0.008352	0.008864	0.008192	0.008576	0.00832	0.008768	0.008928	
DownloadDelay	   128kB	ms	0.00536	0.0053344	0.000334411	0.004928	0.005888	0.005888	0.004928	0.0056	0.00496	0.005632	0.005024	0.005536	0.005184	0.0056	0.004992	
DownloadDelay	   256kB	ms	0.005008	0.005056	0.000119733	0.00496	0.005376	0.005024	0.004992	0.00496	0.00512	0.00512	0.005024	0.00496	0.005376	0.004992	0.004992	
DownloadDelay	   512kB	ms	0.005008	0.0050176	3.9968e-05	0.00496	0.005088	0.00496	0.005088	0.004992	0.005024	0.005024	0.004992	0.005088	0.004992	0.004992	0.005024	
DownloadDelay	  1024kB	ms	0.005024	0.0050368	5.57939e-05	0.00496	0.00512	0.004992	0.00512	0.00496	0.005024	0.00496	0.00512	0.005056	0.005024	0.005088	0.005024	
DownloadDelay	  2048kB	ms	0.005024	0.0050272	3.3409e-05	0.00496	0.005088	0.005056	0.005088	0.004992	0.005024	0.005024	0.005024	0.00496	0.005056	0.005024	0.005024	
DownloadDelay	  4096kB	ms	0.005024	0.0050368	6.89301e-05	0.00496	0.005216	0.005088	0.005024	0.005024	0.005216	0.004992	0.005024	0.004992	0.00496	0.005056	0.004992	
DownloadDelay	  8192kB	ms	0.005024	0.0050368	2.93285e-05	0.004992	0.005088	0.005024	0.005088	0.005088	0.005024	0.005024	0.005056	0.004992	0.005024	0.005024	0.005024	
DownloadDelay	 16384kB	ms	0.005056	0.0050624	6.36792e-05	0.00496	0.005184	0.005056	0.005152	0.005056	0.004992	0.005088	0.005184	0.005056	0.005024	0.005056	0.00496	
DownloadDelay	 32768kB	ms	0.00504	0.0050752	6.89301e-05	0.004992	0.005216	0.005024	0.005024	0.005216	0.004992	0.005024	0.00512	0.00512	0.005056	0.005024	0.005152	
DownloadDelay	 65536kB	ms	0.005072	0.005104	0.000100431	0.005024	0.005376	0.005056	0.005024	0.005056	0.005184	0.005024	0.005088	0.005088	0.005088	0.005056	0.005376	
DownloadLatencyEstimate	1-2kb	ms	0.115	0.1126	0.0356937	0.067	0.157	0.067	0.157	0.078	0.147	0.076	0.088	0.148	0.142	0.078	0.145	
DownloadLatencyEstimate	1-4kb	ms	0.109833	0.1083	0.0157201	0.0793333	0.127667	0.0976667	0.127667	0.0986667	0.121	0.0953333	0.0793333	0.124	0.121667	0.0966667	0.121	
DownloadLatencyEstimate	2-4kb	ms	0.0785	0.0997	0.0352478	0.062	0.159	0.159	0.069	0.14	0.069	0.134	0.062	0.076	0.081	0.134	0.073	
DownloadSpeed	     1kB	GB/sec	0.00923191	0.00922852	0.00104433	0.00793798	0.0105567	0.01024	0.00793798	0.0101386	0.00825806	0.01024	0.0105567	0.008192	0.00825806	0.0101386	0.0083252	
DownloadSpeed	     2kB	GB/sec	0.0193208	0.0184499	0.00186322	0.0153985	0.0202772	0.0153985	0.0202772	0.0165161	0.0202772	0.0165161	0.0193208	0.0200784	0.0193208	0.0165161	0.0202772	
DownloadSpeed	     4kB	GB/sec	0.031876	0.0331986	0.00341469	0.0273067	0.0382804	0.0382804	0.030797	0.0379259	0.030797	0.0359298	0.0273067	0.032	0.0312672	0.0359298	0.0317519	
DownloadSpeed	     8kB	GB/sec	0.0627822	0.0643537	0.00504533	0.0589353	0.077283	0.0589353	0.0611343	0.0645039	0.0620606	0.0635039	0.061594	0.077283	0.061594	0.0635039	0.0694237	
DownloadSpeed	    16kB	GB/sec	0.119591	0.122205	0.00739489	0.118725	0.143719	0.143719	0.119591	0.118725	0.119591	0.118725	0.118725	0.125069	0.119591	0.118725	0.119591	
DownloadSpeed	    32kB	GB/sec	0.223675	0.222326	0.00606108	0.210051	0.229147	0.229147	0.222912	0.227556	0.212779	0.225986	0.210051	0.227556	0.219919	0.224438	0.222912	
DownloadSpeed	    64kB	GB/sec	0.374491	0.365593	0.0194277	0.32605	0.385506	0.374491	0.383251	0.385506	0.372364	0.374491	0.32605	0.35812	0.374491	0.33267	0.374491	
DownloadSpeed	   128kB	GB/sec	0.474054	0.469963	0.0208078	0.412176	0.494611	0.469792	0.494611	0.464794	0.480117	0.469792	0.480117	0.471482	0.480117	0.476625	0.412176	
DownloadSpeed	   256kB	GB/sec	0.690763	0.686523	0.00835942	0.672164	0.697191	0.675629	0.677375	0.691673	0.682667	0.693503	0.672164	0.693503	0.697191	0.689853	0.691673	
DownloadSpeed	   512kB	GB/sec	0.881156	0.899734	0.0424227	0.826953	0.963765	0.826953	0.881156	0.949797	0.875272	0.900838	0.881156	0.963765	0.878204	0.961996	0.878204	
DownloadSpeed	  1024kB	GB/sec	1.16643	1.16079	0.0355027	1.08661	1.20526	1.08661	1.2025	1.17422	1.14975	1.18483	1.15737	1.17553	1.11314	1.15865	1.20526	
DownloadSpeed	  2048kB	GB/sec	1.37468	1.38758	0.0611872	1.32146	1.46654	1.32146	1.35126	1.44831	1.3248	1.45838	1.32647	1.45737	1.32312	1.46654	1.3981	
DownloadSpeed	  4096kB	GB/sec	1.47319	1.48975	0.0545599	1.42276	1.55806	1.49104	1.44931	1.55115	1.42276	1.55057	1.45534	1.5523	1.42712	1.55806	1.43986	
DownloadSpeed	  8192kB	GB/sec	1.54373	1.54336	0.0374554	1.50307	1.58815	1.57681	1.50307	1.5774	1.5036	1.57948	1.50307	1.58126	1.5101	1.58815	1.51064	
DownloadSpeed	 16384kB	GB/sec	1.55864	1.56028	0.00703603	1.551	1.5734	1.55517	1.551	1.56709	1.56024	1.56242	1.5533	1.56855	1.5546	1.5734	1.55705	
DownloadSpeed	 32768kB	GB/sec	1.58197	1.58132	0.00399472	1.5754	1.58777	1.58156	1.58268	1.58238	1.58015	1.57562	1.58238	1.57807	1.5754	1.58717	1.58777	
DownloadSpeed	 65536kB	GB/sec	1.58973	1.58939	0.00288039	1.58477	1.5946	1.58717	1.59056	1.58823	1.5856	1.58477	1.59146	1.5889	1.59192	1.59063	1.5946	
DownloadTime	     1kB	ms	0.112	0.1124	0.0127295	0.097	0.129	0.1	0.129	0.101	0.124	0.1	0.097	0.125	0.124	0.101	0.123	
DownloadTime	     2kB	ms	0.106	0.1122	0.0118642	0.101	0.133	0.133	0.101	0.124	0.101	0.124	0.106	0.102	0.106	0.124	0.101	
DownloadTime	     4kB	ms	0.1285	0.1247	0.0129155	0.107	0.15	0.107	0.133	0.108	0.133	0.114	0.15	0.128	0.131	0.114	0.129	
DownloadTime	     8kB	ms	0.1305	0.128	0.009	0.106	0.139	0.139	0.134	0.127	0.132	0.129	0.133	0.106	0.133	0.129	0.118	
DownloadTime	    16kB	ms	0.137	0.1345	0.00711688	0.114	0.138	0.114	0.137	0.138	0.137	0.138	0.138	0.131	0.137	0.138	0.137	
DownloadTime	    32kB	ms	0.1465	0.1475	0.00412916	0.143	0.156	0.143	0.147	0.144	0.154	0.145	0.156	0.144	0.149	0.146	0.147	
DownloadTime	    64kB	ms	0.175	0.1798	0.0101764	0.17	0.201	0.175	0.171	0.17	0.176	0.175	0.201	0.183	0.175	0.197	0.175	
DownloadTime	   128kB	ms	0.2765	0.2795	0.013596	0.265	0.318	0.279	0.265	0.282	0.273	0.279	0.273	0.278	0.273	0.275	0.318	
DownloadTime	   256kB	ms	0.3795	0.3819	0.00467868	0.376	0.39	0.388	0.387	0.379	0.384	0.378	0.39	0.378	0.376	0.38	0.379	
DownloadTime	   512kB	ms	0.595	0.584	0.027302	0.544	0.634	0.634	0.595	0.552	0.599	0.582	0.595	0.544	0.597	0.545	0.597	
DownloadTime	  1024kB	ms	0.899	0.9042	0.0283542	0.87	0.965	0.965	0.872	0.893	0.912	0.885	0.906	0.892	0.942	0.905	0.87	
DownloadTime	  2048kB	ms	1.526	1.5143	0.0663868	1.43	1.587	1.587	1.552	1.448	1.583	1.438	1.581	1.439	1.585	1.43	1.5	
DownloadTime	  4096kB	ms	2.8475	2.8192	0.102735	2.692	2.948	2.813	2.894	2.704	2.948	2.705	2.882	2.702	2.939	2.692	2.913	
DownloadTime	  8192kB	ms	5.4365	5.4385	0.131973	5.282	5.581	5.32	5.581	5.318	5.579	5.311	5.581	5.305	5.555	5.282	5.553	
DownloadTime	 16384kB	ms	10.764	10.7529	0.0483869	10.663	10.817	10.788	10.817	10.706	10.753	10.738	10.801	10.696	10.792	10.663	10.775	
DownloadTime	 32768kB	ms	21.2105	21.2194	0.0535951	21.133	21.299	21.216	21.201	21.205	21.235	21.296	21.205	21.263	21.299	21.141	21.133	
DownloadTime	 65536kB	ms	42.214	42.2233	0.0765167	42.085	42.346	42.282	42.192	42.254	42.324	42.346	42.168	42.236	42.156	42.19	42.085	

Note: Any results marked with (*) had missing values.
      This can occur on systems with a mixture of
      device types or architectural capabilities.
Chose device: name='Tesla M2070' index=0 id=0x1e0c8230
test	atts	units	median	mean	stddev	min	max	trial0	trial1	trial2	trial3	trial4	trial5	trial6	trial7	trial8	trial9	
ReadbackDelay	     1kB	ms	0.005344	0.0053824	9.36239e-05	0.00528	0.005632	0.005632	0.00544	0.005344	0.005344	0.00528	0.005376	0.005344	0.005408	0.005344	0.005312	
ReadbackDelay	     2kB	ms	0.005328	0.00536	8.49659e-05	0.00528	0.005536	0.005536	0.005344	0.005504	0.005312	0.005344	0.005376	0.005312	0.005312	0.00528	0.00528	
ReadbackDelay	     4kB	ms	0.005376	0.0053664	0.000111817	0.005248	0.0056	0.0056	0.005248	0.005376	0.005248	0.005376	0.005248	0.005376	0.005504	0.005408	0.00528	
ReadbackDelay	     8kB	ms	0.005376	0.0055296	0.000469605	0.005248	0.006912	0.005536	0.005344	0.005536	0.005312	0.005376	0.005376	0.005376	0.00528	0.006912	0.005248	
ReadbackDelay	    16kB	ms	0.005312	0.0053248	5.76e-05	0.005248	0.00544	0.00544	0.005312	0.00528	0.005248	0.005376	0.005344	0.005312	0.005312	0.005376	0.005248	
ReadbackDelay	    32kB	ms	0.005344	0.0053504	6.83333e-05	0.005216	0.005472	0.005472	0.005344	0.005344	0.00528	0.005408	0.005344	0.005408	0.005216	0.005312	0.005376	
ReadbackDelay	    64kB	ms	0.005312	0.0053152	7.21953e-05	0.005152	0.005408	0.005408	0.005248	0.005312	0.005312	0.005408	0.005312	0.005312	0.005312	0.005376	0.005152	
ReadbackDelay	   128kB	ms	0.005328	0.0052736	0.000120415	0.005088	0.00544	0.005376	0.005312	0.005376	0.005184	0.005344	0.005184	0.00544	0.005088	0.005344	0.005088	
